# TextGrid to CSV (D. Gibbon, 2008-11-23)
# Open the file with OpenOffice.org Calc or MS-Excel.
FileName	TierType	TierName	Label	Start	End	Duration
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"頭" 	15.48 	15.705 	0.22499999999999964
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"說" 	15.705 	16.135 	0.4300000000000015
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	16.135 	16.155 	0.019999999999999574
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	16.155 	16.17 	0.015000000000000568
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"嗨" 	16.17 	16.91 	0.7399999999999984
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	16.91 	16.925 	0.015000000000000568
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	16.925 	17.02 	0.09499999999999886
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"小" 	17.02 	17.205 	0.18499999999999872
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"可愛" 	17.205 	17.405 	0.20000000000000284
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	17.405 	17.42 	0.015000000000000568
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	17.42 	17.44 	0.019999999999999574
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"阿力" 	17.44 	17.745 	0.3049999999999997
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"不" 	17.745 	19.13 	1.384999999999998
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"喜歡" 	19.13 	19.63 	0.5
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"自己" 	19.63 	19.94 	0.3100000000000023
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"的" 	19.94 	20.07 	0.129999999999999
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"個子" 	20.07 	20.445 	0.375
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"小" 	20.445 	20.71 	0.26500000000000057
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	20.71 	20.865 	0.15499999999999758
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	20.865 	20.88 	0.015000000000000568
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"很" 	20.88 	21.245 	0.365000000000002
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"不" 	21.245 	21.325 	0.0799999999999983
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"快樂" 	21.325 	21.615 	0.28999999999999915
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	21.615 	21.68 	0.06500000000000128
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	21.68 	21.695 	0.015000000000000568
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"他" 	21.695 	21.9 	0.2049999999999983
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"好" 	21.9 	22.48 	0.5800000000000018
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"希望" 	22.48 	23 	0.5199999999999996
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"快快" 	23 	23.485 	0.48499999999999943
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"長高" 	23.485 	24.12 	0.6350000000000016
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	24.12 	24.205 	0.0849999999999973
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	24.205 	25.255 	1.0500000000000007
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"他" 	25.255 	25.395 	0.14000000000000057
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"每" 	25.395 	25.59 	0.19500000000000028
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"天都" 	25.59 	26.145 	0.5549999999999997
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"想" 	26.145 	26.435 	0.28999999999999915
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"長高" 	26.435 	26.97 	0.5350000000000001
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	26.97 	27.05 	0.08000000000000185
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	27.05 	27.465 	0.41499999999999915
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"連" 	27.465 	27.61 	0.14499999999999957
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"做夢" 	27.61 	28.25 	0.6400000000000006
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"都" 	28.25 	28.46 	0.21000000000000085
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"夢到" 	28.46 	28.975 	0.5150000000000006
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"了" 	28.975 	29.015 	0.03999999999999915
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	29.015 	30.5 	1.4849999999999994
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	30.5 	30.96 	0.46000000000000085
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"媽媽" 	30.96 	31.37 	0.41000000000000014
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	31.37 	31.495 	0.125
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	31.495 	31.585 	0.08999999999999986
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"怎樣" 	31.585 	31.95 	0.36499999999999844
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"才" 	31.95 	32.025 	0.07499999999999929
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"會" 	32.025 	32.23 	0.2049999999999983
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"長高" 	32.23 	32.89 	0.6600000000000037
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	32.89 	33.005 	0.11500000000000199
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	33.005 	33.505 	0.5
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"阿力" 	33.505 	33.72 	0.2149999999999963
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"問" 	33.72 	34.06 	0.3400000000000034
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	34.06 	34.14 	0.0799999999999983
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	34.14 	34.655 	0.5150000000000006
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"蛋白質" 	34.655 	35.72 	1.0649999999999977
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	35.72 	36.28 	0.5600000000000023
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	36.28 	36.345 	0.06499999999999773
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"媽媽" 	36.345 	36.525 	0.17999999999999972
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"說" 	36.525 	37.015 	0.490000000000002
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"\" 	37.015 	37.18 	0.16499999999999915
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"n" 	37.18 	37.34 	0.1600000000000037
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"每" 	37.34 	37.465 	0.125
/Users/neuroling/Downloads/Sound/story1.TextGrid	"IntervalTier" 	"Word" 	"一" 	37.465 	37.56 	0.09499999999999886
