phonogram3967index,index,type,zhuyin,tone,stroke,orthographicgroup,phoneticradical,homograph_cnts,homophone_cnts,freq_char,freq_char(log),freq_char_4.0,freq_char_4.0(log),fre_cd,xasbc_cf_million,freq_syllable_4.0,freq_syllable_4.0(log),phoneticcom,FF_friends,FF(type),FF(1500),FF(2000),FF(log),FB_group_code,FB_total,FB_friend,FB_total_freq,FB_freq_friend,FB_freq_enemy,FB(type),FB(token),FB(1500),FB(5000),FB(log),註記,說明
892,5558,撰,ㄓㄨㄢ,4,15,巽,巽,1,6,159,2.20 ,301,2.478566496,221,17.51 ,23428,4.37 ,3,2,0.666666667,0.174008811,0.136442142,0.468143661,4,6,2,23428,316,23112,0.33 ,0.01 ,0.07 ,0.03 ,0.22 ,,
893,5559,饌,ㄓㄨㄢ,4,20,巽,巽,1,6,12,1.08 ,15,1.176091259,9,0.57 ,23428,4.37 ,3,2,0.666666667,0.174008811,0.136442142,0.468143661,4,6,2,23428,316,23112,0.33 ,0.01 ,0.07 ,0.03 ,0.22 ,,
0,5562,肫,ㄓㄨㄣ,1,8,屯,屯,1,2,2,0.30 ,1,0,1,0.00 ,36,1.56 ,9,1,0.111111111,0.000298329,0.000229779,0,2,2,1,36,1,35,0.50 ,0.03 ,0.03 ,0.03 ,0.00 ,b,雞肫
2333,5561,諄,ㄓㄨㄣ,1,15,享,享,1,2,46,1.66 ,35,1.544068044,16,2.01 ,36,1.56 ,6,1,0.166666667,0.022179975,0.022179975,0.147826582,1,2,1,36,35,1,0.50 ,0.97 ,0.97 ,0.97 ,1.00 ,,
0,5565,準,ㄓㄨㄣ,3,13,隹,隹,1,3,7560,3.88 ,7193,3.85691006,3780,488.91 ,8162,3.91 ,26,3,0.115384615,0.105720647,0.102897345,0.109129573,1,3,3,8162,8162,0,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,
0,5566,准,ㄓㄨㄣ,3,10,隹,隹,1,3,2493,3.40 ,952,2.978636948,652,63.00 ,8162,3.91 ,26,3,0.115384615,0.105720647,0.102897345,0.109129573,1,3,3,8162,8162,0,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,,
0,5567,隼,ㄓㄨㄣ,3,10,隹,隹,1,3,1,0.00 ,17,1.230448921,9,1.44 ,8162,3.91 ,26,3,0.115384615,0.105720647,0.102897345,0.109129573,1,3,3,8162,8162,0,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,b,
3509,5571,妝,ㄓㄨㄤ,1,7,爿,爿,1,4,250,2.40 ,683,2.834420704,286,41.33 ,7769,3.89 ,6,3,0.5,0.526200873,0.489635996,0.476486224,1,4,3,7769,7546,223,0.75 ,0.97 ,0.94 ,0.97 ,0.81 ,,
2617,5569,裝,ㄓㄨㄤ,1,13,爿,壯,1,4,5410,3.73 ,5206,3.716504164,2418,325.03 ,7769,3.89 ,2,2,1,1,1,1,1,4,3,7769,7546,223,0.75 ,0.97 ,0.94 ,0.97 ,0.81 ,,
0,5570,莊,ㄓㄨㄤ,1,11,爿,壯,1,4,2379,3.38 ,1657,3.219322508,757,95.86 ,7769,3.89 ,2,2,1,1,1,1,1,4,3,7769,7546,223,0.75 ,0.97 ,0.94 ,0.97 ,0.81 ,,
